구분,영역,학수번호,과목명,학점,시간,개설 학기,분반수,,"수강 제한
인원",주관학과
,,,,,,,1학기,2학기,,
일반교양,역사와 철학,HALF2003,한국여성의역사,3,3,1.2,1,1,90,역사콘텐츠전공
,,HALF9021,논리와비판적사고,3,3,1.2,2,2,90,계당교양교육원
,,HALF9363,영화로보는현대사,3,3,1.2,1,1,90,한일문화콘텐츠전공
,,HALF9373,음식으로살펴본생활문화사,3,3,1.2,1,1,90,계당교양교육원
,,HALF9408,빅히스토리와인공지능,3,3,1.2,1,1,90,계당교양교육원
,,HALF9422,한국의세계유산(e-러닝),3,3,1.2,1,1,90,계당교양교육원
,언어와 문화,HALF0104,정보조사와보고서작성,3,3,1,1,0,70,문헌정보학전공
,,HALF0126,한국현대문학산책,3,3,1.2,1,1,90,국어교육과
,,HALF5005,영문학산책,3,3,1,1,0,90,영어교육과
,,HALF9024,문학과대중문화,3,3,1.2,1,1,90,국어교육과
,,HALF9058,대중문화로보는일본,3,3,1.2,1,1,90,한일문화콘텐츠전공
,,HALF9342,세상을읽는글쓰기세미나,3,3,1.2,1,1,40,계당교양교육원
,,HALF9409,설화와공동체윤리,3,3,1,1,0,90,계당교양교육원
,,HALF9416,대화와인간관계(e-러닝),3,3,1.2,1,1,90,계당교양교육원
,글로벌 언어와 문화,HALF5017,English Enrichment(Current Issues),2,2,1,1,0,50,계당교양교육원
,,HALF9311,English Enrichment(English through Cultural Understanding),3,3,1.2,1,1,90,계당교양교육원
,,HALF0321,English Enrichment(Speaking),2,2,1.2,2,2,30,계당교양교육원
,,HALF5014,실용한자한문,3,3,1,1,0,90,국어교육과
,,HALF0325,일본어입문,2,2,1.2,1,1,70,한일문화콘텐츠전공
,,HALF9078,중급일본어,2,2,1.2,1,1,40,한일문화콘텐츠전공
,,HALF5001,중국어입문,2,2,1.2,1,1,70,계당교양교육원
,,HALF9079,중급중국어,2,2,2,0,1,70,계당교양교육원
,,HALF9392,독일어입문,2,2,1,2,0,70,계당교양교육원
,,HALF9393,러시아어입문,2,2,1.2,2,2,70,계당교양교육원
,,HALF5018,프랑스어입문,2,2,1.2,1,1,70,계당교양교육원
,,HALF9257,대학글쓰기(유학생),3,3,1,1,0,80,계당교양교육원
,,HALF9258,대화와자기표현(유학생)**,3,3,1.2,1,2,80,계당교양교육원
,,HALF9052,한국문화입문(유학생)**,3,3,1.2,2,2,80,계당교양교육원
,,HALF9050,한국사회의이해(유학생)**,3,3,1.2,2,2,80,계당교양교육원
,경제와 경영,HALF4025,소비자와시장,3,3,1.2,1,1,90,경제금융학부
,,HALF9067,생활과재테크,3,3,1,1,0,90,경영학부
,,HALF9248,비즈니스와상상력,3,3,1,1,0,90,글로벌경영학과
,,HALF9303,돈과신용의이해,3,3,2,0,1,90,경제금융학부
,,HALF9332,혁신적기술과경영,3,3,1.2,1,1,90,경영학부
,,HALF9377,4차산업혁명과회계학,3,3,1.2,1,1,90,경영학부
,,HALF9417,디지털혁명시대를선도하는심리역량,3,3,1.2,1,1,90,계당교양교육원
,법과 정치,HALF0401,생활법률,3,3,1,1,1,90,지적재산권전공
,,HALF3012,데이터로보는국제협력,3,3,2,1,1,90,행정학부
,,HALF9034,현대인과저작권,3,3,1,1,0,90,지적재산권전공
,,HALF9284,범죄와사회,3,3,1,1,1,90,지적재산권전공
,,HALF9355,복지노동과법,3,3,1,1,1,90,지적재산권전공
,,HALF9359,현대사회와행정,3,3,1,1,1,90,행정학부
,,HALF9414,제4차산업혁명과법정책,3,3,1,1,1,90,행정학부
,인간과 사회,HALF2006,책의역사,3,3,1,1,0,90,문헌정보학전공
,,HALF4011,결혼과사회,3,3,1,1,1,90,가족복지학과
,,HALF6023,인간과생태환경,3,3,1,1,0,90,공간환경학부
,,HALF9038,아시아공동체론,2,2,1,1,0,90,가족복지학과
,,HALF9251,글로벌시대지역의이해,3,3,1,1,1,90,공간환경학부
,,HALF9279,긍정심리와행복탐구,3,3,2,0,1,90,가족복지학과
,,HALF9322,키워드로읽는중국사회,3,3,1,1,1,90,계당교양교육원
,,HALF9339,일본사회문화의이해,3,3,1,1,1,90,계당교양교육원
,,HALF9341,공간에대한인문학적이해,3,3,1,1,1,90,공간환경학부
,,HALF9346,일상과공간의성찰,3,3,1,1,0,90,공간환경학부
,,HALF9361,미래사회와집단지성,3,3,1,1,1,90,행정학부
,,HALF9364,세계유산의가치탐색,3,3,1,1,1,90,계당교양교육원
,,HALF9366,공간환경과인간,3,3,1,1,1,90,공간환경학부
,,HALF9376,인간발달의이해,3,3,1,1,1,90,가족복지학과
,,HALF9399,빅데이터를통한삶의이해,3,3,1,1,1,60,계당교양교육원
,,HALF9402,성격심리와자기이해,2,2,1,2,2,90,계당교양교육원
,,HALF9406,인간행동의심리적이해,3,3,1,2,2,90,계당교양교육원
,,HALF9407,판단과의사결정,3,3,1,1,1,90,계당교양교육원
,,HALF9410,질병과문명,3,3,1,1,1,90,계당교양교육원
,,HALF9418,부와권력의교환,3,3,1,1,1,90,계당교양교육원
,과학과 환경,HALF0501,과학기술과환경,3,3,2,0,1,90,계당교양교육원
,,HALF0534,물의과학,3,3,1,1,1,90,계당교양교육원
